weeks,site,b_r,bag,total,dead,live,percent_dead
31.57142857,A,b,2,87,2,85,2.352941176
31.57142857,A,b,3,86,1,85,1.176470588
31.57142857,A,b,4,84,4,80,5
31.57142857,A,b,5,90,2,88,2.272727273
31.85714286,A,r,1,86,6,80,7.5
31.85714286,A,r,2,83,7,76,9.210526316
31.85714286,A,r,3,87,2,85,2.352941176
31.85714286,A,r,4,86,2,84,2.380952381
31.85714286,A,r,5,90,8,82,9.756097561
31.28571429,C,b,1,84,0,84,0
31.28571429,C,b,2,84,0,84,0
31.28571429,C,b,3,86,0,86,0
31.28571429,C,b,4,78,1,77,1.298701299
31.28571429,C,b,5,86,0,86,0
31.42857143,C,r,1,84,0,84,0
31.42857143,C,r,2,74,0,74,0
31.42857143,C,r,4,87,0,87,0
31.14285714,D,r,1,88,1,87,1.149425287
31.14285714,D,r,2,94,1,93,1.075268817
31.14285714,D,r,3,84,1,83,1.204819277
31.14285714,D,r,4,84,0,84,0
31.14285714,D,r,5,83,0,83,0
31.14285714,D,b,1,84,0,84,0
31.14285714,D,b,2,84,0,84,0
31.14285714,D,b,3,96,0,96,0
31.14285714,D,b,4,87,1,86,1.162790698
31.14285714,D,b,5,87,2,85,2.352941176
31.14285714,E,r,1,77,2,75,2.666666667
32.14285714,E,r,2,88,6,82,7.317073171
33.14285714,E,r,3,85,1,84,1.19047619
34.14285714,E,r,4,98,1,97,1.030927835
35.14285714,E,r,5,84,2,82,2.43902439
