site,b_r,bag,number,outplant_time,tin_mass,wet_mass,dry_whole,dry_tissue,shell_length,shell_thick_bottom
A,r,4,2,16.42857143,1.284,11.978,8.312,1.802,53.61,1.42
A,r,4,3,16.42857143,1.302,11.264,7.264,1.864,40.42,1.58
A,r,4,4,16.42857143,1.261,9.334,6.184,1.769,50.77,1.42
A,r,4,5,16.42857143,1.247,11.131,6.597,1.706,48.26,1.45
A,r,4,6,16.42857143,1.257,10.789,7.009,1.835,49.43,0.93
A,r,4,7,16.42857143,1.265,12.403,7.936,2.025,53.84,1.52
A,r,4,8,16.42857143,1.275,8.647,5.951,1.792,42.29,1.33
A,r,4,9,16.42857143,1.236,11.897,6.754,1.836,44.43,1.33
A,r,4,10,16.42857143,1.244,10.53,7.006,1.626,39.57,1.07
A,r,5,1,16.42857143,1.267,10.48,6.94,1.929,51.86,1.35
A,r,5,2,16.42857143,1.255,13.111,8.584,2.276,55.26,1.27
A,r,5,3,16.42857143,1.269,15.077,8.517,1.984,59.04,1
A,r,5,4,16.42857143,1.262,7.751,5.311,1.662,39.11,1.06
A,r,5,5,16.42857143,1.265,8.596,5.953,1.609,45.85,1.52
A,r,5,6,16.42857143,1.009,5.329,3.818,1.26,34.76,1.23
A,r,5,7,16.42857143,1.277,8.648,5.677,1.695,40.97,1.17
A,r,5,8,16.42857143,1.265,9.725,5.601,1.72,50.02,1.05
A,r,5,9,16.42857143,1.269,16.937,9.437,2.169,66.03,1.38
A,r,5,10,16.42857143,1.287,13.943,8.361,1.945,65.84,1.18
