site,b_r,bag,number,outplant_time,empty_dish,whole_oyster,length,dry_whole,dry_tissue,
B,b,2,9,51.71428571,2.5119,14.6873,54.17,9.7264,2.809,
B,b,2,10,51.71428571,2.5567,12.5814,52.08,8.4914,2.6926,
B,b,3,1,51.71428571,2.5602,32.6854,87.36,17.2819,3.2327,
B,b,3,2,51.71428571,2.5842,20.8348,50.11,12.6595,2.8955,
B,b,3,3,51.71428571,2.5328,23.0671,76.58,14.363,2.9928,
B,b,3,4,51.71428571,2.5938,27.9708,72.38,16.6631,3.0098,
B,b,3,5,51.71428571,2.5853,24.8844,66.83,14.5481,2.9089,
B,b,3,6,51.71428571,2.5329,18.683,62.93,10.9667,2.8633,
B,b,3,7,51.71428571,2.528,19.0113,54.95,11.1173,2.8643,
B,b,3,8,51.71428571,2.4714,28.9569,75.67,18.0363,3.0361,
B,b,3,9,51.71428571,2.4944,20.9529,62.24,13.7994,2.8841,
B,b,3,10,51.71428571,2.4406,33.7566,79.75,20.6921,3.3492,
B,b,4,1,51.71428571,2.5985,24.7983,71.83,15.249,3.1236,
B,b,4,2,51.71428571,2.5183,10.1296,44.21,6.7887,2.6171,
B,b,4,3,51.71428571,2.5406,13.5643,43.88,8.4994,2.7201,
B,b,4,4,51.71428571,2.4745,23.9616,64.02,13.7463,2.9651,
B,b,4,5,51.71428571,2.5196,15.2907,62.61,9.4065,2.8163,
B,b,4,6,51.71428571,2.5614,24.0003,61.96,15.3971,3.2509,
B,b,4,7,51.71428571,2.5371,21.5552,62.01,14.465,2.9353,
B,b,4,8,51.71428571,2.6355,26.3653,47.9,16.6765,3.187,
B,b,4,9,51.71428571,2.5129,8.9168,36.88,6.3363,2.5883,
B,b,4,10,51.71428571,2.6695,34.1349,75.2,22.3421,3.449,
B,b,5,1,51.71428571,2.5226,23.531,69.32,15.6968,3.1026,
B,b,5,2,51.71428571,2.5781,21.8997,47.36,14.3666,3.0794,
B,b,5,3,51.71428571,2.5525,18.4104,52.21,9.9781,2.6994,
B,b,5,4,51.71428571,2.5588,13.4394,54.67,9.3314,2.8196,
B,b,5,5,51.71428571,2.5189,13.7318,48.22,8.6324,2.7389,
B,b,5,6,51.71428571,2.4702,13.9877,49.97,9.2358,2.6799,
B,b,5,7,51.71428571,2.4502,19.0064,56.35,14.1187,2.9541,
B,b,5,8,51.71428571,2.4597,5.3124,32.29,4.131,2.5045,
B,b,5,9,51.71428571,2.512,6.2115,31.08,4.7054,2.5655,
B,b,5,10,51.71428571,2.4821,28.0248,64.29,15.9311,3.1548,
A,r,1,1,51.71428571,2.5977,73.7104,106.73,49.3735,6.1341,
A,r,1,2,51.71428571,2.6454,29.8691,61.19,20.7882,4.427,
A,r,1,3,51.71428571,2.7625,30.4487,69.73,20.8157,4.1113,
A,r,1,4,51.71428571,2.7914,40.4744,67.9,26.9813,4.4897,
A,r,1,5,51.71428571,2.5994,37.0644,74.16,22.5413,4.0023,
A,r,1,6,51.71428571,2.7695,30.9182,60.85,21.9185,4.1256,
A,r,1,7,51.71428571,2.5794,20.5493,58.42,13.9074,3.3475,
A,r,1,8,51.71428571,2.6522,20.8354,49.55,14.8948,3.5627,
A,r,1,9,51.71428571,2.5934,33.8444,77.18,24.1337,4.176,
A,r,1,10,51.71428571,2.675,34.2284,62.41,23.8992,3.9634,
A,r,2,1,51.71428571,2.6634,39.0927,81.13,27.9053,4.8604,
A,r,2,2,51.71428571,2.551,13.1748,45.38,9.9061,3.0291,
A,r,2,3,51.71428571,2.597,49.4154,87.1,35.044,5.4293,
A,r,2,4,51.71428571,2.544,28.7554,82.79,3.8492,20.5839,
A,r,2,5,51.71428571,2.5871,45.2932,90.22,32.5849,4.6595,
A,r,2,6,51.71428571,2.5038,42.7297,83.42,30.021,4.7513,
A,r,2,7,51.71428571,2.5775,38.2319,55.48,26.0265,4.0267,
A,r,2,8,51.71428571,2.63,28.7514,65.76,18.3191,3.69,
A,r,2,9,51.71428571,2.5919,45.1595,90.96,32.8709,4.9194,
A,r,2,10,51.71428571,2.6606,35.7792,66.79,24.61,4.5825,
A,r,3,1,51.71428571,2.5962,35.3602,78.12,24.4592,4.1067,
A,r,3,2,51.71428571,2.7581,53.6229,92.77,33.313,5.2179,
A,r,3,3,51.71428571,2.7492,44.9372,74.81,31.2033,4.8502,
A,r,3,4,51.71428571,2.6647,41.6889,69.74,29.296,4.7146,
A,r,3,5,51.71428571,2.6027,30.6595,67.83,22.3358,4.3814,
A,r,3,6,51.71428571,2.639,25.8689,56.99,16.2998,3.7434,
A,r,3,7,51.71428571,2.7912,40.5037,74.86,23.2531,4.723,
A,r,3,8,51.71428571,2.7625,31.7437,59.5,21.1612,3.9745,
A,r,3,9,51.71428571,2.6078,41.0273,78.32,28.2244,4.4392,
A,r,3,10,51.71428571,2.792,34.065,65.96,22.8586,4.3858,
A,r,4,1,51.71428571,2.5646,43.1361,89.59,28.7688,4.6349,
A,r,4,2,51.71428571,2.5118,33.5345,66.45,21.8101,3.6794,
A,r,4,3,51.71428571,2.5678,43.6281,84,32.0067,4.7053,
A,r,4,4,51.71428571,2.6598,32.6559,81.97,23.267,4.0567,
A,r,4,5,51.71428571,2.5986,28.0212,61.85,17.4178,3.5049,
A,r,4,6,51.71428571,2.6552,44.025,68.13,29.8915,4.638,
A,r,4,7,51.71428571,2.585,37.8858,71.83,23.794,4.3967,
A,r,4,8,51.71428571,2.5606,31.9828,67.89,22.4125,4.0108,
A,r,4,9,51.71428571,2.5585,41.4982,65.69,27.7078,4.6778,
A,r,4,10,51.71428571,2.4795,60.1065,81.81,38.7647,5.4696,
A,r,5,1,51.71428571,2.6921,24.0907,62.71,16.2737,3.7436,
A,r,5,2,51.71428571,2.6344,32.8846,68.47,21.3741,3.9144,
A,r,5,3,51.71428571,2.6169,29.5954,66.99,19.7216,4.1604,
A,r,5,4,51.71428571,2.6671,33.5776,85.4,23.4587,4.1927,
A,r,5,5,51.71428571,2.5343,27.4941,62.35,18.0651,3.4266,
A,r,5,6,51.71428571,2.6499,22.7471,65.86,16.2367,3.4705,
A,r,5,7,51.71428571,2.5462,39.0726,70.22,25.6221,4.6376,
A,r,5,8,51.71428571,2.6962,36.5913,49.94,20.9186,3.7006,
A,r,5,9,51.71428571,2.7462,40.3239,74.52,27.6657,4.8138,
A,r,5,10,51.71428571,2.495,41.9359,71.91,26.7219,4.497,
