site,b_r,bag,number,outplant_time,empty_dish,whole_oyster,length,dry_whole,dry_tissue,
E,r,5,6,51,2.57,81.1269,76.91,43.237,6.9568,
E,r,5,7,51,2.5915,39.3563,63.3,22.9761,4.5227,
E,r,5,8,51,2.5788,26.9765,64.12,17.1173,4.3706,
E,r,5,9,51,2.5556,54.6832,74.53,31.8991,5.3484,
D,b,1,1,51,2.5289,46.4523,95.07,25.7991,4.1035,
D,b,1,2,51,2.5226,36.1044,83.59,22.3564,3.4544,
D,b,1,3,51,2.6651,43.7027,86.21,27.7158,3.8185,
D,b,1,4,51,2.588,44.6355,85.81,26.1631,3.9476,
D,b,1,5,51,2.5897,26.6763,72.24,14.3009,3.118,
D,b,1,6,51,2.4973,16.1231,55.74,10.7733,2.8816,
D,b,1,7,51,2.6365,46.9326,84.48,28.5977,3.4238,
D,b,1,8,51,2.7275,24.6311,71.03,15.0603,4.0119,
D,b,1,9,51,2.6741,24.2977,66.1,14.7262,3.2042,
D,b,1,10,51,2.579,27.1053,63.94,16.3458,3.1649,
D,b,2,1,51,2.502,25.2294,64.44,14.1505,3.1469,
D,b,2,2,51,2.5477,11.4299,62.49,7.9,2.7553,
D,b,2,3,51,2.6897,34.5463,48.04,20.977,3.4132,
D,b,2,4,51,2.5597,29.9876,80.34,18.1114,3.128,
D,b,2,5,51,2.5467,37.3362,67.69,20.3068,3.3978,
D,b,2,6,51,2.5306,37.6376,72.27,20.0684,3.3767,
D,b,2,7,51,2.5124,15.9191,77.05,9.9095,2.7817,
D,b,2,8,51,2.6197,24.7111,68.65,14.6414,3.1306,
D,b,2,9,51,2.6223,41.9221,93.03,26.9146,4.2654,
D,b,2,10,51,2.7009,30.8275,67.37,18.297,3.268,
D,b,3,1,51,2.5863,43.6044,70.65,22.9394,3.8997,
D,b,3,2,51,2.5459,23.3784,49.51,14.6289,3.0151,
D,b,3,3,51,2.566,41.1104,67.87,23.505,3.4913,
D,b,3,4,51,2.5764,39.2515,63.7,23.2298,3.5313,
D,b,3,5,51,2.542,31.8762,68.46,18.5404,3.2818,
D,b,3,6,51,2.5506,27.1549,65.64,15.9899,3.1216,
D,b,3,7,51,2.5104,17.945,60.72,9.9152,2.816,
D,b,3,8,51,2.541,26.302,65.92,13.7302,3.046,
D,b,3,9,51,2.5241,20.1687,66.3,11.2625,2.9344,
D,b,3,10,51,2.5014,17.3654,57,9.3401,2.7599,
D,b,4,1,51,2.5174,40.3479,84.63,24.3355,3.525,
D,b,4,2,51,2.5066,42.6422,76.84,28.3526,3.5763,
D,b,4,3,51,2.5933,55.21,97.18,35.9664,4.1132,
D,b,4,4,51,2.5539,25.3987,65.44,16.1126,3.0686,
D,b,4,5,51,2.6991,39.5236,62.03,24.7032,3.8232,
D,b,4,6,51,2.6971,28.9688,73.37,17.3348,3.2244,
D,b,4,7,51,2.7671,37.2209,91.35,22.2716,3.63,
D,b,4,8,51,2.5424,51.55,83.29,26.4299,3.9068,
D,b,4,9,51,2.5054,12.3676,48.55,7.4234,2.7178,
D,b,5,1,51,2.5226,38.8399,74.23,5.1427,2.5964,
D,b,5,2,51,2.4718,7.0632,38.1,15.0566,3.177,
D,b,5,3,51,2.6959,26.2572,63.73,20.4648,3.2159,
D,b,5,4,51,2.5735,32.3796,76.07,22.419,3.8173,
D,b,5,5,51,2.8425,31.5519,54.41,19.5016,3.6641,
D,b,5,6,51,2.5798,26.9152,74.98,17.4638,3.1175,
D,b,5,7,51,2.4601,23.8435,53.87,13.2882,2.8683,
D,b,5,8,51,2.5545,44.6499,92.49,28.7646,3.8326,
D,b,5,9,51,2.6667,20.3638,54.42,11.9908,3.077,
D,b,5,10,51,2.4363,29.8676,63.86,20.4316,3.3955,
E,b,1,2,51,2.5295,34.9168,56.56,21.4861,3.4275,
E,b,1,3,51,2.4935,56.0005,81.4,30.0159,4.0687,
E,b,1,4,51,2.5396,34.2422,76.76,20.745,3.3343,
E,b,1,5,51,2.5263,30.4994,58.19,20.9405,3.6651,
E,b,1,6,51,2.5002,24.426,64.74,16.7363,3.4693,
E,b,1,7,51,2.5477,32.4457,77.12,23.6563,3.3915,
E,b,1,8,51,2.5495,38.8832,65.89,26.1301,4.3272,
E,b,1,9,51,2.5933,35.8554,51.22,22.1625,3.4113,
E,b,1,10,51,2.518,39.6991,72.02,27.3223,4.1436,
E,b,2,1,51,2.4572,44.5803,84.66,29.6669,4.2695,
E,b,2,2,51,2.4867,34.6775,67.45,21.4723,3.6395,
E,b,2,3,51,2.5115,35.243,74.52,24.008,3.7043,
E,b,2,4,51,2.4838,30.5578,67.3,18.9003,3.4216,
E,b,2,5,51,2.5504,25.4945,59.44,19.0518,3.343,
E,b,2,6,51,2.5632,30.7722,68,20.8536,3.7408,
