site,b_r,bag,outplant_time,shell_length,month,growth_rate
D,b,3,51,67.87,12,0.2867254901960785
D,b,3,51,63.7,12,0.20496078431372555
D,b,3,51,68.46,12,0.2982941176470587
D,b,3,51,65.64,12,0.24300000000000002
D,b,3,51,60.72,12,0.14652941176470585
D,b,3,51,65.92,12,0.2484901960784314
D,b,3,51,66.3,12,0.25594117647058817
D,b,3,51,57,12,0.07358823529411765
D,b,4,51,84.63,12,0.6153529411764705
D,b,4,51,76.84,12,0.46260784313725495
D,b,4,51,97.18,12,0.8614313725490197
D,b,4,51,65.44,12,0.23907843137254897
D,b,4,51,62.03,12,0.17221568627450984
D,b,4,51,73.37,12,0.3945686274509805
D,b,4,51,91.35,12,0.7471176470588234
D,b,4,51,83.29,12,0.5890784313725491
D,b,4,51,48.55,12,-0.09209803921568632
D,b,5,51,74.23,12,0.4114313725490197
D,b,5,51,38.1,12,-0.297
D,b,5,51,63.73,12,0.20554901960784308
D,b,5,51,76.07,12,0.44750980392156847
D,b,5,51,54.41,12,0.022803921568627386
D,b,5,51,74.98,12,0.42613725490196086
D,b,5,51,53.87,12,0.012215686274509757
D,b,5,51,92.49,12,0.769470588235294
D,b,5,51,54.42,12,0.023000000000000034
D,b,5,51,63.86,12,0.20809803921568626
E,b,1,51,56.56,12,0.06496078431372554
E,b,1,51,81.4,12,0.5520196078431374
E,b,1,51,76.76,12,0.4610392156862746
E,b,1,51,58.19,12,0.09692156862745094
E,b,1,51,64.74,12,0.22535294117647048
E,b,1,51,77.12,12,0.4680980392156864
E,b,1,51,65.89,12,0.24790196078431373
E,b,1,51,51.22,12,-0.03974509803921571
E,b,1,51,72.02,12,0.3680980392156862
E,b,2,51,84.66,12,0.6159411764705882
E,b,2,51,67.45,12,0.27849019607843145
E,b,2,51,74.52,12,0.4171176470588234
E,b,2,51,67.3,12,0.27554901960784306
E,b,2,51,59.44,12,0.12143137254901956
E,b,2,51,68,12,0.28927450980392155
E,b,2,51,68.76,12,0.3041764705882354
E,b,2,51,62,12,0.17162745098039217
E,b,2,51,70.67,12,0.3416274509803922
E,b,2,51,69.11,12,0.3110392156862745
E,b,3,51,69.74,12,0.323392156862745
E,b,3,51,83.13,12,0.5859411764705882
E,b,3,51,68.88,12,0.3065294117647058
E,b,3,51,50,12,-0.06366666666666666
E,b,3,51,60.22,12,0.1367254901960784
E,b,3,51,75.69,12,0.4400588235294117
E,b,3,51,75.22,12,0.4308431372549019
E,b,3,51,63.25,12,0.1961372549019608
E,b,3,51,55.46,12,0.04339215686274512
E,b,3,51,81.09,12,0.5459411764705883
E,b,4,51,45.2,12,-0.15778431372549015
E,b,4,51,57.41,12,0.08162745098039209
E,b,4,51,73.1,12,0.3892745098039215
E,b,4,51,72.33,12,0.3741764705882353
E,b,4,51,55.96,12,0.05319607843137257
E,b,4,51,50.82,12,-0.04758823529411764
E,b,4,51,68.49,12,0.2988823529411764
E,b,4,51,78.33,12,0.49182352941176466
E,b,4,51,58.22,12,0.0975098039215686
E,b,4,51,48.95,12,-0.08425490196078425
E,b,5,51,73.51,12,0.39731372549019617
E,b,5,51,78.54,12,0.4959411764705884
E,b,5,51,68.62,12,0.3014313725490197
E,b,5,51,91.67,12,0.7533921568627452
E,b,5,51,51.9,12,-0.026411764705882378
E,b,5,51,68.33,12,0.29574509803921567
E,b,5,51,77.1,12,0.4677058823529411
E,b,5,51,70.61,12,0.3404509803921569
E,b,5,51,68.26,12,0.29437254901960797
E,b,5,51,61.78,12,0.1673137254901961
C,r,1,51.28571429,79.43,12,0.5105320333835212
C,r,1,51.28571429,61.93,12,0.1693064066710886
C,r,1,51.28571429,80.07,12,0.5230111420175755
C,r,1,51.28571429,76.99,12,0.46295543171618747
C,r,1,51.28571429,52.55,12,-0.013590529246775217
C,r,1,51.28571429,45.52,12,-0.15066573814896936
C,r,1,51.28571429,69.37,12,0.3143760445419742
C,r,1,51.28571429,83.77,12,0.5951559888082042
C,r,1,51.28571429,74.11,12,0.4067994428629415
C,r,1,51.28571429,68.82,12,0.3036518105595833
C,r,1,51.28571429,54.87,12,0.03164623955167297
C,r,1,51.28571429,67.95,12,0.2866880222601654
C,r,1,51.28571429,54.32,12,0.020922005569282292
C,r,1,51.28571429,101.22,12,0.935406685158601
C,r,1,51.28571429,56.47,12,0.06284401113680967
C,r,2,51.28571429,63.38,12,0.19757938717011875
C,r,2,51.28571429,78.07,12,0.4840139275361547
C,r,2,51.28571429,65.63,12,0.24145125346171709
C,r,2,51.28571429,85.3,12,0.6249888578864912
C,r,2,51.28571429,75.78,12,0.439362116954928
C,r,2,51.28571429,81.94,12,0.5594735375577041
C,r,2,51.28571429,86.18,12,0.6421476322583165
C,r,2,51.28571429,60.64,12,0.14415320333057216
C,r,2,51.28571429,73.05,12,0.3861309191877884
C,r,2,51.28571429,94.62,12,0.8067158773699123
C,r,2,51.28571429,93.06,12,0.7762980500744041
C,r,2,51.28571429,67.75,12,0.2827883008120233
C,r,2,51.28571429,91.96,12,0.7548495821096225
C,r,2,51.28571429,52.62,12,-0.012225626739925482
C,r,2,51.28571429,89.76,12,0.7119526461800597
C,r,4,51.28571429,76.87,12,0.4606155988473024
C,r,4,51.28571429,66.87,12,0.26562952644019816
C,r,4,51.28571429,60.1,12,0.13362395542058855
C,r,4,51.28571429,53.43,12,0.003568245125050004
C,r,4,51.28571429,68.69,12,0.30111699161829103
C,r,4,51.28571429,71.74,12,0.3605877437024577
C,r,4,51.28571429,64.36,12,0.2166880222660149
C,r,4,51.28571429,82.91,12,0.5783871865811931
C,r,4,51.28571429,85.58,12,0.6304484679138901
C,r,4,51.28571429,84.94,12,0.6179693592798353
C,r,4,51.28571429,79.58,12,0.5134568244696275
C,r,4,51.28571429,112.21,12,1.1496963787340084
C,r,4,51.28571429,75.67,12,0.43721727015844986
C,r,4,51.28571429,66.75,12,0.2632896935713128
C,r,4,51.28571429,88.36,12,0.684654596043065
B,r,2,51.42857143,86.23,12,0.6413361110932964
B,r,2,51.42857143,105.43,12,1.0146694444162594
B,r,2,51.42857143,52.13,12,-0.021719444443841076
B,r,2,51.42857143,105.73,12,1.0205027777494307
B,r,2,51.42857143,86.61,12,0.6487249999819799
B,r,2,51.42857143,119.98,12,1.2975861110750673
B,r,2,51.42857143,81.57,12,0.5507249999847019
B,r,2,51.42857143,110.62,12,1.1155861110801228
B,r,2,51.42857143,81.18,12,0.5431416666515796
B,r,2,51.42857143,53.23,12,-3.3055555554643205e-4
B,r,3,51.42857143,94.6,12,0.8040861110887753
B,r,3,51.42857143,100.83,12,0.9252249999742993
B,r,3,51.42857143,85.9,12,0.6349194444268079
B,r,3,51.42857143,87.83,12,0.6724472222035431
B,r,3,51.42857143,79.66,12,0.5135861110968448
