site,b_r,bag,number,outplant_time,tin_ mass,wet_mass,dry_whole,dry_tissue,shell_length,shell_thick_bottom,shell_thick_top,
C,b,1,7,8.428571429,0.8768,4.6383,3.4081,0.9851,35.97,0.95,0.8,
C,b,1,8,8.428571429,0.8453,2.4859,2.1101,0.8962,21.53,0.98,0.83,
C,b,1,9,8.428571429,0.8635,2.6633,2.1919,0.9389,27.36,0.85,1.09,
C,b,1,10,8.428571429,1.0193,4.1885,3.1814,1.1438,32.7,0.76,0.86,
C,b,2,1,8.428571429,1.2033,3.8872,3.0948,1.3193,39.03,0.84,0.44,
C,b,2,2,8.428571429,0.9837,4.4051,3.5392,1.1056,40.3,0.91,0.85,
C,b,2,3,8.428571429,1.094,4.7009,3.7897,1.1987,42.56,0.89,0.72,
C,b,2,4,8.428571429,0.8985,6.0603,4.6174,1.1352,45.79,1.26,0.64,
C,b,2,5,8.428571429,1.1626,5.2141,3.9777,1.3085,45.8,0.84,0.74,
C,b,2,6,8.428571429,1.0257,3.6839,2.9104,1.1419,34.79,0.94,0.82,
C,b,2,7,8.428571429,1.1875,4.8744,3.7209,1.317,39.49,1.21,0.67,
C,b,2,8,8.428571429,1.1793,4.4398,3.5153,1.3143,35.18,1.03,0.75,
C,b,2,9,8.428571429,1.0783,3.8992,3.0111,1.1996,33.9,0.74,0.6,
C,b,2,10,8.428571429,0.809,2.868,2.364,0.8961,34.34,0.99,0.86,
C,b,3,1,8.428571429,1.2435,4.4865,3.4927,1.3658,36.7,1.2,0.67,
C,b,3,2,8.428571429,0.9875,3.6877,2.7238,1.0878,38.42,0.76,0.65,
C,b,3,3,8.428571429,0.9937,4.0891,2.9112,1.0845,34.63,0.75,0.71,
C,b,3,4,8.428571429,0.9695,3.8191,2.3963,1.1024,35.2,0.98,0.84,
C,b,3,5,8.428571429,1.0274,4.1013,2.8488,1.1435,35.33,0.88,0.73,
C,b,3,6,8.428571429,1.0094,4.1312,2.8658,1.1107,33.71,0.91,0.61,
C,b,3,7,8.428571429,0.8754,3.3558,2.617,0.9719,32.79,0.97,0.85,
C,b,3,8,8.428571429,0.9122,4.5662,3.3094,1.0597,38.24,1.28,1.12,
C,b,3,9,8.428571429,0.8645,4.242,2.848,0.9858,35.89,0.92,0.75,
C,b,3,10,8.428571429,1.0777,4.0493,3.0505,1.1875,33.39,1.16,0.73,
C,b,4,1,8.428571429,0.9409,4.2318,3.3831,1.0542,36.52,0.92,0.73,
C,b,4,2,8.428571429,1.0211,2.2771,1.8642,1.0601,25.73,0.63,0.47,
C,b,4,3,8.428571429,1.0841,3.2948,2.5284,1.1924,28.7,0.97,0.55,
C,b,4,4,8.428571429,1.1357,3.7466,3.0055,1.2161,37.64,0.92,0.74,
C,b,4,5,8.428571429,0.9215,2.7198,2.19,0.9832,26.29,0.76,0.81,
C,b,4,6,8.428571429,0.8713,3.0157,2.5079,0.9396,33.79,0.91,0.75,
C,b,4,7,8.428571429,0.9186,2.4584,2.0879,0.9721,23.95,0.64,0.64,
C,b,4,8,8.428571429,1.5314,4.6807,3.5833,1.6529,38.14,0.99,0.73,
C,b,4,9,8.428571429,1.1003,3.5861,3,1.1736,33.62,1.19,0.69,
C,b,4,10,8.428571429,1.3493,3.7977,2.9519,1.4588,30.31,0.94,0.74,
C,b,5,1,8.428571429,1.1164,3.0795,2.4536,1.1742,31.8,0.74,0.69,
C,b,5,2,8.428571429,0.9687,4.6553,3.4055,1.0762,43.68,0.91,0.56,
C,b,5,3,8.428571429,1.0443,3.2073,2.6075,1.1146,36.31,0.61,0.69,
C,b,5,4,8.428571429,1.0038,3.5921,2.8561,1.1003,39.59,0.88,0.71,
C,b,5,5,8.428571429,1.3902,3.7203,3.1036,1.4717,33.24,0.8,0.64,
C,b,5,6,8.428571429,1.0296,3.3027,2.5962,1.0825,37.17,0.93,0.82,
C,b,5,7,8.428571429,1.3073,5.3986,4.0781,1.4309,40.47,1.08,0.84,
C,b,5,8,8.428571429,1.2633,3.1298,2.559,1.324,28.77,0.74,0.63,
C,b,5,9,8.428571429,1.3833,4.3882,3.4866,1.513,33.26,0.91,0.75,
C,b,5,10,8.428571429,1.242,3.8557,3.0228,1.3211,30.96,1.06,0.55,
A,r,1,1,8.714285714,1.4102,7.4762,5.4188,1.8918,46.6,1.22,0.82,
A,r,1,2,8.714285714,1.3305,5.0683,3.8789,1.6229,38.06,1.15,0.45,
A,r,1,3,8.714285714,0.9915,6.2072,4.2476,1.4041,48.11,0.99,0.66,
A,r,1,4,8.714285714,0.9392,5.8292,3.6628,1.1875,37.05,1.16,0.6,
A,r,1,5,8.714285714,1.4526,5.5719,3.9486,1.7436,32.21,1.08,0.73,
A,r,1,6,8.714285714,1.1022,7.6275,4.6334,1.4914,44.98,1.26,0.93,
A,r,1,7,8.714285714,0.9138,5.6467,4.0666,1.1966,40.45,1.08,0.59,
A,r,1,8,8.714285714,0.9823,5.074,3.7223,1.2751,37.82,1.22,0.66,
A,r,1,9,8.714285714,1.0478,4.1142,3.2155,1.2712,40.08,0.96,0.59,
A,r,1,10,8.714285714,1.0335,4.392,3.0586,1.2761,36.19,0.87,1.09,
A,r,2,1,8.714285714,1.0983,4.969,3.7329,1.3938,39.39,1.26,0.8,
A,r,2,2,8.714285714,1.1877,4.0133,3.1259,1.3442,34.16,1.09,0.5,
A,r,2,3,8.714285714,1.1114,4.6378,3.3498,1.3361,37.92,1.05,0.54,
A,r,2,4,8.714285714,1.0629,4.3055,2.9709,1.2991,32.34,1.04,0.4,
A,r,2,5,8.714285714,1.2642,5.4829,4.1017,1.5742,47.6,1.15,0.77,
A,r,2,6,8.714285714,1.2872,4.9472,3.8076,1.5313,36.94,1.04,0.93,
A,r,2,7,8.714285714,1.382,4.6796,3.6762,1.5889,36.92,1.06,0.74,
A,r,2,8,8.714285714,1.5089,5.6189,4.2477,1.7749,43.6,1.11,0.45,
A,r,2,9,8.714285714,1.3897,5.4432,3.6746,1.645,41.37,1.15,0.74,
A,r,2,10,8.714285714,1.6158,3.8233,3.1225,1.7516,29.36,1.31,0.65,
A,r,3,1,8.714285714,1.0319,5.4476,3.8895,1.3563,46.8,1.17,0.72,
A,r,3,2,8.714285714,1.0267,4.6349,3.4715,1.3421,36.26,0.91,0.65,
A,r,3,3,8.714285714,1.0807,4.6926,3.3624,1.2572,33.61,0.87,0.91,
A,r,3,4,8.714285714,1.7089,4.718,3.6587,1.9265,34.22,1.08,0.47,
A,r,3,5,8.714285714,1.3728,6.3854,4.7168,1.7604,45.84,1.08,0.58,
A,r,3,6,8.714285714,1.2763,5.2246,3.8739,1.5486,33.38,0.86,0.79,
A,r,3,7,8.714285714,1.3118,4.604,3.4569,1.5345,36.01,1.13,0.67,
A,r,3,8,8.714285714,1.1655,5.6218,3.9574,1.5056,38.59,0.76,0.45,
A,r,3,9,8.714285714,1.2776,4.4905,3.4041,1.4811,35.31,1.05,0.54,
A,r,3,10,8.714285714,1.1773,3.1075,2.5099,1.2995,28.32,0.94,0.56,
A,r,4,1,8.714285714,1.0347,4.8318,3.5555,1.3157,41.34,0.9,0.53,
A,r,4,2,8.714285714,1.2984,4.9486,3.9286,1.5833,41.39,1.3,0.56,
A,r,4,3,8.714285714,1.2505,3.5661,2.8301,1.3974,31.15,0.84,0.51,
A,r,4,4,8.714285714,1.1601,5.5342,3.9785,1.4376,40.31,0.93,0.61,
A,r,4,5,8.714285714,1.2889,6.0662,4.5239,1.6622,43.07,0.86,0.63,
A,r,4,6,8.714285714,1.2584,5.073,3.9424,1.5001,42.77,0.73,0.64,
A,r,4,7,8.714285714,1.3303,4.5177,3.575,1.5589,38.57,0.88,0.5,
A,r,4,8,8.714285714,1.3858,4.5933,3.3438,1.6264,36.03,0.76,0.85,
A,r,4,9,8.714285714,1.3948,4.4245,3.421,1.5935,38.61,0.79,0.54,
A,r,4,10,8.714285714,1.197,3.7167,2.8539,1.3604,29.65,0.75,0.71,
A,r,5,1,8.714285714,1.3113,5.0717,3.8462,1.5771,33.81,1.17,0.66,
A,r,5,2,8.714285714,1.2128,4.7493,3.3544,1.3866,33.87,1.11,0.9,
A,r,5,3,8.714285714,1.1571,4.3493,3.4009,1.3748,37.49,0.82,0.75,
A,r,5,4,8.714285714,1.1985,3.7323,2.9227,1.3371,32.93,0.69,0.82,
A,r,5,5,8.714285714,1.2868,5.9441,3.9705,1.6587,46.84,1.12,0.59,
A,r,5,6,8.714285714,1.4049,7.65712,5.3042,1.8172,58.16,1.21,0.76,
A,r,5,7,8.714285714,1.4061,9.2057,5.8213,1.8952,53.21,1.7,1.16,
A,r,5,8,8.714285714,1.2948,4.6477,3.3498,1.4738,39.48,1.15,0.91,
A,r,5,9,8.714285714,1.6333,6.7712,4.602,1.9232,34.45,1.06,0.61,
A,r,5,10,8.714285714,1.2467,3.5636,2.7158,1.4216,26.07,1.03,0.76,
B,b,1,1,8.857142857,1.2207,4.6001,3.4911,1.3392,37.52,1.03,0.65,
B,b,1,2,8.857142857,1.1641,4.1333,3.2306,1.2973,35.81,1.08,0.7,
B,b,1,3,8.857142857,0.7904,2.9459,2.4476,0.9015,30.31,1.12,0.63,
B,b,1,4,8.857142857,1.2969,3.3207,2.6662,1.368,30.31,0.93,0.64,
B,b,1,5,8.857142857,1.4321,3.735,2.9951,1.5204,29.87,0.95,0.78,
B,b,1,6,8.857142857,1.3012,4.5805,3.5139,1.4343,31.66,1.2,0.83,
B,b,1,7,8.857142857,1.4343,3.7785,3.2156,1.5412,32.7,0.89,0.92,
B,b,1,8,8.857142857,1.3231,3.6172,2.7467,1.4183,35.24,0.88,0.55,
B,b,1,9,8.857142857,1.2039,3.222,2.537,1.2806,28.15,0.88,0.7,
B,b,1,10,8.857142857,1.2774,3.7323,2.9285,1.3714,31.3,0.68,0.65,
B,b,1,11,8.857142857,2.4188,4.8038,4.3272,2.5279,31.78,1.12,0.59,
B,b,2,1,8.857142857,1.088,4.6507,3.5951,1.2212,41.13,1.07,0.73,
B,b,2,2,8.857142857,1.2552,3.4065,2.7459,1.336,32.03,0.89,0.53,
B,b,2,3,8.857142857,1.1023,3.3128,2.4636,1.1744,30.55,0.63,0.69,
B,b,2,4,8.857142857,1.2924,3.7816,2.9537,1.3868,30.58,0.72,0.67,
B,b,2,5,8.857142857,1.0396,3.7786,2.8731,1.1331,36.07,0.97,0.65,
B,b,2,6,8.857142857,1.1767,3.2329,2.6671,1.2443,27.61,0.97,0.69,
B,b,2,7,8.857142857,1.1336,4.0736,3.1156,1.2513,36.21,1.02,0.63,
B,b,2,8,8.857142857,1.1952,4.6184,3.7617,1.3338,34.69,0.9,0.89,
B,b,2,9,8.857142857,1.4528,4.6155,3.5527,1.5716,34.74,1.05,0.51,
B,b,2,10,8.857142857,1.5149,3.7069,3.0208,1.5895,27.22,1.19,0.82,
B,b,3,1,8.857142857,0.9797,3.5239,2.7152,1.0656,33.2,0.94,0.64,
B,b,3,2,8.857142857,1.6259,5.6181,4.1811,1.7733,35.28,0.98,0.7,
B,b,3,3,8.857142857,1.3203,3.803,2.9341,1.4011,31.96,1.01,0.66,
B,b,3,4,8.857142857,1.5479,3.9526,3.1026,1.6609,31.02,0.77,0.6,
B,b,3,5,8.857142857,1.2337,6.1414,4.2403,1.4154,42.53,1.05,0.5,
B,b,3,6,8.857142857,1.2239,5.5768,4.3634,1.3935,37.57,1.39,1.03,
B,b,3,7,8.857142857,1.8009,4.9427,3.905,1.9394,38.11,1.12,0.51,
B,b,3,8,8.857142857,1.3152,4.2356,3.487,1.4368,39.33,1.09,0.72,
B,b,3,9,8.857142857,1.3955,3.3809,2.617,1.4887,26.23,0.77,0.61,
B,b,3,10,8.857142857,1.4887,4.0857,3.1706,1.5779,33.74,0.86,0.58,
B,b,4,1,8.857142857,1.6053,5.4506,4.354,1.7883,38.02,0.66,0.72,
B,b,4,2,8.857142857,1.3845,4.3397,3.5661,1.4856,36.81,0.97,0.91,
B,b,4,3,8.857142857,1.3886,4.2079,3.368,1.5419,37.41,0.78,0.45,
B,b,4,4,8.857142857,1.2524,5.1625,3.9642,1.3955,42.14,1.07,0.6,
B,b,4,5,8.857142857,1.6783,3.6848,3.0172,1.7539,31.15,0.76,0.48,
B,b,4,6,8.857142857,1.3316,4.8435,3.5937,1.435,37.14,0.98,0.62,
B,b,4,7,8.857142857,1.6661,4.9228,3.8224,1.7984,34.41,0.77,0.8,
B,b,4,8,8.857142857,1.6118,4.199,3.3644,1.6978,31.63,1.13,0.61,
B,b,4,9,8.857142857,1.3962,4.1454,2.8422,1.6827,28.76,0.9,0.87,
B,b,4,10,8.857142857,1.6313,3.3983,3.0562,1.5407,36.63,1.18,0.64,
B,b,5,1,8.857142857,1.6589,5.0908,4.0155,1.7944,32.03,1.09,0.71,
B,b,5,2,8.857142857,1.4893,4.2571,3.3577,1.5714,31.33,1,0.67,
B,b,5,3,8.857142857,1.5893,4.0485,3.3693,1.6996,32.96,1.01,0.61,
B,b,5,4,8.857142857,1.8037,4.3759,3.6428,1.8918,32.09,0.82,0.67,
B,b,5,5,8.857142857,1.444,3.1387,2.6106,1.5021,25.81,0.89,0.72,
B,b,5,6,8.857142857,1.388,4.7326,3.5115,1.5146,33.28,0.98,0.85,
B,b,5,7,8.857142857,1.2218,3.898,2.9932,1.3083,32.79,0.86,1.06,
B,b,5,8,8.857142857,1.6992,4.4378,3.5298,1.7742,32.22,0.69,0.58,
B,b,5,9,8.857142857,1.7992,3.3519,2.8087,1.5802,28.2,0.78,0.82,
B,b,5,10,8.857142857,1.3735,3.4989,2.8101,1.4576,28.06,0.84,0.71,
B,r,1,1,8.714285714,1.392,7.8524,5.3211,1.7829,44.26,1.07,0.76,
B,r,1,2,8.714285714,1.5908,7.8502,5.1399,2.0607,45.64,1,0.72,
B,r,1,3,8.714285714,1.584,3.7369,3.1417,1.7174,31.29,1.03,0.49,
B,r,1,4,8.714285714,1.328,3.866,3.0362,1.5142,30.81,0.73,0.32,
B,r,1,5,8.714285714,1.363,5.8076,3.9929,1.6698,43.63,1.18,0.64,
B,r,1,6,8.714285714,1.2739,4.9112,3.4398,1.4881,41.93,0.68,0.42,
B,r,1,7,8.714285714,1.4443,5.0919,3.9708,1.6728,43.15,1.11,0.52,
B,r,1,8,8.714285714,1.4045,5.3055,3.644,1.6928,37.73,0.89,0.76,
B,r,1,9,8.714285714,1.576,6.6286,4.7283,1.9462,45.28,0.96,0.76,
B,r,1,10,8.714285714,1.4845,5.1787,3.9306,1.7601,30.57,1.16,0.66,
B,r,2,1,8.714285714,1.2418,5.2479,3.6064,1.4849,37.16,1.2,0.59,
B,r,2,2,8.714285714,1.1576,6.7526,4.092,1.6402,45.57,0.97,0.65,
B,r,2,3,8.714285714,1.301,5.0657,3.4089,1.5085,34.94,0.98,0.61,
B,r,2,4,8.714285714,1.2596,5.3556,3.618,1.4778,37.19,1.05,0.81,
B,r,2,5,8.714285714,1.2885,7.0745,4.8364,1.7093,53.66,1.16,0.57,
B,r,2,6,8.714285714,1.197,3.8437,2.8157,1.3083,31.55,0.91,0.86,
B,r,2,7,8.714285714,1.2083,4.4257,3.1253,1.3593,31.98,1.39,0.61,
B,r,2,8,8.714285714,1.2038,3.976,3.0786,1.3908,35.87,0.6,0.75,
B,r,2,9,8.714285714,1.238,7.1719,4.3807,1.5284,43.65,1.27,1.22,
B,r,2,10,8.714285714,1.1813,7.1036,4.5004,1.7538,44.86,1.07,0.76,
B,r,2,11,8.714285714,1.0007,4.3617,3.1095,1.2116,42.93,0.78,0.94,
B,r,3,1,8.714285714,1.4017,7.549,4.9681,1.8237,40.75,1.24,0.55,
B,r,3,2,8.714285714,1.0428,5.5626,3.9991,1.3539,40.38,1.01,0.51,
B,r,3,3,8.714285714,1.3796,7.5459,5.0234,1.7563,47.15,1.24,0.64,
B,r,3,4,8.714285714,1.7063,5.7357,3.466,1.5914,34.12,0.92,0.72,
B,r,3,5,8.714285714,1.1151,3.9131,2.9855,1.286,32.81,1,0.42,
B,r,3,6,8.714285714,1.3402,7.2262,5.1518,1.8035,58.92,1.22,0.75,
B,r,3,7,8.714285714,1.0273,5.673,3.7927,1.2857,39.94,0.96,0.47,
B,r,3,8,8.714285714,1.1558,4.2926,3.091,1.3125,34.78,0.84,0.53,
B,r,3,9,8.714285714,1.5672,4.2022,3.4109,1.74,33.59,1.12,0.45,
B,r,3,10,8.714285714,1.2851,5.2106,3.9882,1.6126,45.83,1.49,0.58,
B,r,4,1,8.714285714,1.5137,7.3942,5.0407,1.8438,44.05,0.99,0.59,
B,r,4,2,8.714285714,1.3514,7.5816,5.3859,1.8209,49.32,0.97,0.7,
B,r,4,3,8.714285714,0.9889,5.7458,3.7439,1.3097,46.37,1.13,0.72,
B,r,4,4,8.714285714,0.8205,5.9042,4.0032,1.1903,42.1,1.09,0.76,
B,r,4,5,8.714285714,1.0255,3.4831,2.7811,1.1658,34.11,0.86,0.84,
B,r,4,6,8.714285714,1.1269,5.1622,3.7452,1.3768,40.45,1.06,0.55,
B,r,4,7,8.714285714,1.0687,7.1326,4.3488,1.3844,39.28,0.91,0.53,
B,r,4,8,8.714285714,1.0229,5.0876,3.6623,1.2674,37.7,0.92,0.81,
B,r,4,9,8.714285714,0.8146,6.0787,3.8102,1.1349,46.29,0.89,0.81,
B,r,4,10,8.714285714,1.0313,5.5281,3.6808,1.281,38.31,0.8,0.58,
B,r,5,1,8.714285714,1.1216,6.1681,4.2641,1.4882,44.06,1.13,0.61,
B,r,5,2,8.714285714,1.0905,3.7627,2.9802,1.2379,31.65,0.95,0.64,
B,r,5,3,8.714285714,2.1189,6.0545,4.7889,2.3445,37.43,1.01,0.95,
B,r,5,4,8.714285714,1.4392,4.4772,4.0418,1.9363,35.82,0.79,0.59,
B,r,5,5,8.714285714,2.1291,8.0822,5.9509,2.5846,38.15,1.03,0.62,
B,r,5,6,8.714285714,1.1857,4.3296,3.2373,1.3717,32.19,0.99,0.4,
B,r,5,7,8.714285714,1.9359,6.1913,4.7594,2.2154,41.68,1.07,0.79,
B,r,5,8,8.714285714,2.0672,6.8502,5.1189,2.4232,46.58,1.03,0.61,
B,r,5,9,8.714285714,1.7996,4.593,3.586,1.9298,38.28,0.55,0.56,
B,r,5,10,8.714285714,1.6968,5.1135,3.7893,1.9015,28.47,1.08,0.54,
