date_time,temp,sal,cond,s_v
42939.03472,17.03,21.47,28.91,1497.15
42939.04514,17.03,21.41,28.85,1497.09
42939.05556,16.91,21.48,28.85,1496.79
42939.06597,16.85,21.52,28.86,1496.65
42939.07639,16.94,21.46,28.85,1496.87
42939.08681,17.06,21.47,28.94,1497.26
42939.09722,17,21.46,28.88,1497.05
42939.10764,16.97,21.47,28.88,1496.97
42939.11806,17.15,21.5,29.03,1497.57
42939.12847,17.42,21.48,29.18,1498.38
42939.13889,17.42,21.48,29.18,1498.38
42939.14931,17.39,21.5,29.18,1498.31
42939.15972,16.76,21.72,29.05,1496.6
42939.17014,17,21.59,29.04,1497.2
42939.18056,17.45,21.54,29.28,1498.55
42939.19097,17.45,21.49,29.21,1498.48
42939.20139,17.36,21.54,29.22,1498.27
42939.21181,17.33,21.58,29.25,1498.22
42939.22222,17.33,21.53,29.19,1498.16
42939.23264,17.21,21.55,29.13,1497.81
42939.24306,16.94,21.57,28.98,1496.99
42939.25347,16.91,21.56,28.95,1496.88
42939.26389,16.79,21.58,28.89,1496.53
42939.27431,16.61,21.52,28.71,1495.9
42939.28472,16.46,21.51,28.59,1495.4
42939.29514,16.55,21.48,28.62,1495.66
42939.30556,16.52,21.47,28.59,1495.55
42939.31597,16.36,21.46,28.47,1495.05
42939.32639,16.27,21.43,28.39,1494.73
42939.33681,16.18,21.46,28.36,1494.48
42939.34722,16.03,21.45,28.25,1493.97
42939.35764,16.03,21.45,28.25,1493.97
42939.36806,16.09,21.41,28.24,1494.13
42939.37847,16.18,21.41,28.3,1494.42
42939.38889,16.3,21.29,28.24,1494.66
42939.39931,16.3,21.19,28.12,1494.55
42939.40972,16.43,21.13,28.11,1494.85
42939.42014,16.49,21.17,28.2,1495.09
42939.43056,16.76,21.26,28.49,1496.06
42939.44097,16.79,0.01,0,1471.34
42939.45139,17.09,0.01,0,1472.35
42939.46181,17.09,0.01,0,1472.35
42939.47222,18.13,0.01,0,1475.8
42939.48264,19.02,0.01,0,1478.67
42939.49306,19.67,0.01,0,1480.72
