.imp	site	b_r	temp_av	temp_se	sal_av	sal_se	av_dmax_t	dmax_sd	av_dmin_t	dmin_tse	av_dmin_s	dmin_sse	tot_dh_t	tot_dh_s	month
0	A	b	17.7670582032897	3.44852447321785	20.5463560231909	4.97766333892321	23.5696	5.24230357529113	15.2838	1.78624893710427	12.6574	10.4918949884651	22.25	1236.6675	4
0	A	r	13.6694227430556	1.59338610659022	23.6662174479167	1.10104360484859	15.0981632653061	1.60347626719443	11.7848979591837	1.01624333218186	23.000612244898	1.09780919745355	0	0	4
0	B	b	15.4253741760372	3.0462206368411	18.381213648701	7.81797336683236	21.2810714285714	4.90774092956689	13.3307142857143	1.66646871840368	3.16071428571429	7.88930590223548	0.2425	2032.88	4
0	B	r	16.0323201555412	2.34818108875108	23.1969259019227	1.33652715292529	17.0285714285714	2.4588699979191	14.9283673469388	2.28246152481151	22.6473469387755	1.34204255941923	0	0	4
0	C	b	17.2082579240261	3.33764140659474	20.8793013445821	6.64604870255164	23.7025	6.8431671892105	14.967	1.6304682354056	8.52625	11.1513815833711	64.02	1710.025	4
0	C	r	16.3309447194719	1.61693120771087	22.3716711229947	1.17014092730029	17.358125	1.53728782483404	15.209375	1.61525757941956	21.8408333333333	1.34533683725443	0	14.3475	4
0	D	b	17.2513892244503	3.56285861437578	21.1856607876299	6.23107318192367	24.4936363636364	7.32498086064936	14.4081818181818	1.31474513000469	8.71181818181818	11.1086288004703	97.8475	1618.6475	4
0	D	r	16.4635545830294	1.88220080533251	21.9914992927864	1.03185947253795	18.18	2.07027482181421	14.7965789473684	1.45625078831351	21.55	1.15846590076844	0	13.5625	4
0	E	b	17.0355955544818	4.11347124408573	19.8156141636142	6.12476261227819	26.1888636363636	9.27181831992607	14.42	1.0719857687358	8.07954545454546	10.2966535440981	197.0825	1772.6775	4
0	E	r	16.1294298139647	1.58745388110654	22.932589997584	0.64787074295053	17.8890909090909	1.98528987770554	14.5475	1.05494874779068	22.4338636363636	0.649859433491657	0	0	4
1	A	b	17.7670582032897	3.44852447321785	20.5096668072543	5.04449268497405	23.5696	5.24230357529113	15.2838	1.78624893710427	12.6566	10.492879336746	22.25	1299.0575	4
1	A	r	13.6694227430556	1.59338610659022	23.6662174479167	1.10104360484859	15.0981632653061	1.60347626719443	11.7848979591837	1.01624333218186	23.000612244898	1.09780919745355	0	0	4
1	B	b	15.4253741760372	3.0462206368411	18.381213648701	7.81797336683236	21.2810714285714	4.90774092956689	13.3307142857143	1.66646871840368	3.16071428571429	7.88930590223548	0.2425	2032.88	4
1	B	r	16.0323201555412	2.34818108875108	23.1969259019227	1.33652715292529	17.0285714285714	2.4588699979191	14.9283673469388	2.28246152481151	22.6473469387755	1.34204255941923	0	0	4
1	C	b	17.2082579240261	3.33764140659474	20.7995838374062	6.74543402781978	24.0593181818182	6.85891048291819	14.7477272727273	1.71730570971922	7.75113636363636	10.9056542228096	68.245	1929.8575	4
1	C	r	16.3309447194719	1.61693120771087	22.4071225247525	1.73025720805566	17.6907843137255	2.68509057064171	15.2439215686275	1.57246186399718	20.4239215686275	5.40281448077995	1.0525	83.4625	4
1	D	b	17.2513892244503	3.56285861437578	21.1856607876299	6.23107318192367	24.4936363636364	7.32498086064936	14.4081818181818	1.31474513000469	8.71181818181818	11.1086288004703	97.8475	1618.6475	4
1	D	r	16.4635545830294	1.88220080533251	22.1095258935084	1.96298927427714	17.9731818181818	2.01820640234155	14.7595454545455	1.376953081475	18.1834090909091	8.05919089457895	0	110.735	4
1	E	b	17.0355955544818	4.11347124408573	19.7922783280986	6.14976739070112	26.1888636363636	9.27181831992607	14.42	1.0719857687358	8.07931818181818	10.2968359099711	197.0825	1811.0375	4
1	E	r	16.1294298139647	1.58745388110654	22.932589997584	0.64787074295053	17.8890909090909	1.98528987770554	14.5475	1.05494874779068	22.4338636363636	0.649859433491657	0	0	4
2	A	b	17.7670582032897	3.44852447321785	20.5170012652889	5.03289935987918	23.5696	5.24230357529113	15.2838	1.78624893710427	12.6568	10.4926332641681	22.25	1294.9825	4
2	A	r	13.6694227430556	1.59338610659022	23.6662174479167	1.10104360484859	15.0981632653061	1.60347626719443	11.7848979591837	1.01624333218186	23.000612244898	1.09780919745355	0	0	4
2	B	b	15.4253741760372	3.0462206368411	18.381213648701	7.81797336683236	21.2810714285714	4.90774092956689	13.3307142857143	1.66646871840368	3.16071428571429	7.88930590223548	0.2425	2032.88	4
2	B	r	16.0323201555412	2.34818108875108	23.1969259019227	1.33652715292529	17.0285714285714	2.4588699979191	14.9283673469388	2.28246152481151	22.6473469387755	1.34204255941923	0	0	4
2	C	b	17.2082579240261	3.33764140659474	20.7053423663199	6.86122493502724	24.0593181818182	6.85891048291819	14.7477272727273	1.71730570971922	7.75136363636364	10.9054890362839	68.245	2008.0725	4
2	C	r	16.3309447194719	1.61693120771087	22.404801980198	1.79690447496807	17.6907843137255	2.68509057064171	15.2439215686275	1.57246186399718	19.7823529411765	6.70006286186489	1.0525	92.775	4
2	D	b	17.2513892244503	3.56285861437578	21.1856607876299	6.23107318192367	24.4936363636364	7.32498086064936	14.4081818181818	1.31474513000469	8.71181818181818	11.1086288004703	97.8475	1618.6475	4
2	D	r	16.4635545830294	1.88220080533251	22.1719523462193	1.90636635784825	17.9731818181818	2.01820640234155	14.7595454545455	1.376953081475	18.6254545454545	7.55756557781685	0	92.805	4
2	E	b	17.0355955544818	4.11347124408573	19.8074124184586	6.12492089072123	26.1888636363636	9.27181831992607	14.42	1.0719857687358	8.07931818181818	10.2968359099711	197.0825	1799.465	4
2	E	r	16.1294298139647	1.58745388110654	22.932589997584	0.64787074295053	17.8890909090909	1.98528987770554	14.5475	1.05494874779068	22.4338636363636	0.649859433491657	0	0	4
3	A	b	17.7670582032897	3.44852447321785	20.4868093631379	5.09117304262382	23.5696	5.24230357529113	15.2838	1.78624893710427	12.6564	10.4931253996634	22.25	1326.54	4
3	A	r	13.6694227430556	1.59338610659022	23.6662174479167	1.10104360484859	15.0981632653061	1.60347626719443	11.7848979591837	1.01624333218186	23.000612244898	1.09780919745355	0	0	4
3	B	b	15.4253741760372	3.0462206368411	18.381213648701	7.81797336683236	21.2810714285714	4.90774092956689	13.3307142857143	1.66646871840368	3.16071428571429	7.88930590223548	0.2425	2032.88	4
3	B	r	16.0323201555412	2.34818108875108	23.1969259019227	1.33652715292529	17.0285714285714	2.4588699979191	14.9283673469388	2.28246152481151	22.6473469387755	1.34204255941923	0	0	4
3	C	b	17.2082579240261	3.33764140659474	20.8423808371643	6.69617561041806	24.0593181818182	6.85891048291819	14.7477272727273	1.71730570971922	7.75136363636364	10.9054890362839	68.245	1893.575	4
3	C	r	16.3309447194719	1.61693120771087	22.4528981023102	1.58257479167743	17.6907843137255	2.68509057064171	15.2439215686275	1.57246186399718	20.5241176470588	5.35758608945132	1.0525	55.235	4
3	D	b	17.2513892244503	3.56285861437578	21.1856607876299	6.23107318192367	24.4936363636364	7.32498086064936	14.4081818181818	1.31474513000469	8.71181818181818	11.1086288004703	97.8475	1618.6475	4
3	D	r	16.4635545830294	1.88220080533251	22.1045027960126	2.19163863683087	17.9731818181818	2.01820640234155	14.7595454545455	1.376953081475	18.1825	8.06128881293689	0	144.0525	4
3	E	b	17.0355955544818	4.11347124408573	19.7794926310703	6.16511603783045	26.1888636363636	9.27181831992607	14.42	1.0719857687358	8.07931818181818	10.2968359099711	197.0825	1822.4675	4
3	E	r	16.1294298139647	1.58745388110654	22.932589997584	0.64787074295053	17.8890909090909	1.98528987770554	14.5475	1.05494874779068	22.4338636363636	0.649859433491657	0	0	4
4	A	b	17.7670582032897	3.44852447321785	20.4895782370308	5.09172743204532	23.5696	5.24230357529113	15.2838	1.78624893710427	12.6566	10.492879336746	22.25	1326.5	4
4	A	r	13.6694227430556	1.59338610659022	23.6662174479167	1.10104360484859	15.0981632653061	1.60347626719443	11.7848979591837	1.01624333218186	23.000612244898	1.09780919745355	0	0	4
4	B	b	15.4253741760372	3.0462206368411	18.381213648701	7.81797336683236	21.2810714285714	4.90774092956689	13.3307142857143	1.66646871840368	3.16071428571429	7.88930590223548	0.2425	2032.88	4
