site,b_r,bag,number,outplant_time,tin_mass,wet_mass,shell_length,dry_whole,dry_tissue
A,r,4,4,31.85714286,2.4895,29.4797,66.66,20.08,4.1992
A,r,4,5,31.85714286,2.5275,27.5251,62.57,15.7789,3.8712
A,r,4,6,31.85714286,2.6503,26.8367,59.88,17.7112,3.7599
A,r,4,7,31.85714286,2.4819,32.7215,76.32,18.0695,4.1793
A,r,4,8,31.85714286,2.5121,28.9229,55.22,17.3016,3.7186
A,r,4,9,31.85714286,2.5134,19.3223,64.44,12.604,3.4682
A,r,4,10,31.85714286,2.4742,19.1267,52,12.6341,3.4021
A,r,5,1,31.85714286,2.5702,31.5792,81.76,20.0193,4.6505
A,r,5,2,31.85714286,2.5132,46.1239,77.27,29.8261,5.261
A,r,5,3,31.85714286,2.4994,34.6934,72.08,19.7606,4.8279
A,r,5,4,31.85714286,2.5855,37.1902,85.85,22.2744,4.6224
A,r,5,5,31.85714286,2.4381,38.8706,72.81,22.6784,4.8669
A,r,5,6,31.85714286,2.6557,26.0976,50.28,16.2756,3.737
A,r,5,7,31.85714286,2.5082,16.8895,53.77,10.9781,3.3893
A,r,5,8,31.85714286,2.5094,27.8038,71.87,17.8741,2.9466
A,r,5,9,31.85714286,2.6805,17.0195,49.11,11.981,3.5099
A,r,5,10,31.85714286,2.4854,22.75,63.53,15.2448,3.7266
B,b,1,1,31.85714286,2.5044,8.0912,39.66,5.8356,2.5914
B,b,1,2,31.85714286,2.5504,12.0141,41.79,7.7336,2.7901
B,b,1,3,31.85714286,2.4965,16.5419,60.64,9.9945,2.791
B,b,1,4,31.85714286,2.5124,14.2292,49.53,9.8058,2.7806
B,b,1,5,31.85714286,2.4697,16.1553,50.24,10.3087,2.7095
B,b,1,6,31.85714286,2.4873,12.2761,48.26,8.7319,2.6603
B,b,1,7,31.85714286,2.4574,21.8063,63.92,12.8345,2.8624
B,b,1,8,31.85714286,2.4821,14.6337,57.73,10.3674,2.7501
B,b,1,9,31.85714286,2.4922,16.4823,51.73,10.8491,2.8232
B,b,1,10,31.85714286,2.5435,18.9884,72.13,11.4646,2.9931
B,b,2,1,31.85714286,2.5516,15.9396,50.74,10.3358,2.8544
B,b,2,2,31.85714286,2.4559,17.7539,54.64,10.8123,2.7287
B,b,2,3,31.85714286,2.5053,19.9974,67.8,12.73,3.0425
B,b,2,4,31.85714286,2.4652,10.6605,47.84,7.5728,2.6829
B,b,2,5,31.85714286,2.4602,19.998,61.51,12.8393,2.9719
B,b,2,6,31.85714286,2.4899,19.2679,67.23,12.0575,2.9215
B,b,2,7,31.85714286,2.5208,9.0146,43.28,6.4023,2.6774
B,b,2,8,31.85714286,2.4991,9.9376,52.72,7.1328,2.6904
B,b,2,9,31.85714286,2.496,10.5164,43.12,7.5397,2.6411
B,b,2,10,31.85714286,2.4959,20.258,58.02,12.9374,3.0079
B,b,3,1,31.85714286,2.534,29.294,71.67,17.4983,3.326
B,b,3,2,31.85714286,2.5395,23.8501,72.83,13.3934,3.2776
B,b,3,3,31.85714286,2.4877,17.7625,61.53,10.6417,2.8948
B,b,3,4,31.85714286,2.5827,33.5015,80.03,20.5008,3.493
B,b,3,5,31.85714286,2.5463,23.7897,72.43,13.4732,2.9955
B,b,3,6,31.85714286,2.4447,26.3112,62.83,15.9197,3.1441
B,b,3,7,31.85714286,2.5301,27.8072,64.64,16.8906,3.1378
B,b,3,8,31.85714286,2.43,17.0463,58.07,10.9033,2.7663
B,b,3,9,31.85714286,2.4601,15.209,61.64,9.95,2.702
B,b,3,10,31.85714286,2.4192,17.0392,58.43,11.1106,2.6979
B,b,4,1,31.85714286,2.4869,23.4255,75.16,13.518,3.1397
B,b,4,2,31.85714286,2.5532,9.9534,49.18,6.657,2.6959
B,b,4,3,31.85714286,2.4632,25.1995,69.98,15.8951,3.0231
B,b,4,4,31.85714286,2.4673,8.0783,38.95,6.2064,2.5828
B,b,4,5,31.85714286,2.4899,19.7459,58.92,13.0686,2.9494
B,b,4,6,31.85714286,2.5063,21.4466,61.24,12.6791,3.0181
B,b,4,7,31.85714286,2.4708,15.138,46.27,9.5574,2.8114
B,b,4,8,31.85714286,2.5635,19.3987,61.13,11.6057,3.0461
B,b,4,9,31.85714286,2.5417,8.9581,49.03,6.7696,2.6693
B,b,4,10,31.85714286,2.5485,26.5655,73.76,15.971,3.2723
B,b,5,1,31.85714286,2.5062,15.5658,54.16,10.1443,2.7862
B,b,5,2,31.85714286,2.4474,28.0155,59.83,15.302,3.2671
B,b,5,3,31.85714286,2.5052,17.0763,58.46,10.4332,2.8067
B,b,5,4,31.85714286,2.5128,20.1313,62.33,12.8391,2.9539
B,b,5,5,31.85714286,2.4605,15.6545,50.64,9.6888,2.7505
B,b,5,6,31.85714286,2.4584,7.0659,32.05,5.1557,2.5395
B,b,5,7,31.85714286,2.4247,10.5148,44.2,7.1091,2.6089
B,b,5,8,31.85714286,2.4556,6.8904,37.18,5.2411,2.5515
B,b,5,9,31.85714286,2.5053,6.9588,34.02,5.0158,2.5966
B,b,5,10,31.85714286,2.4662,10.6022,44.1,7.0019,2.5719
B,r,2,1,31.71428571,2.4588,46.195,90.31,17.1134,4.9708
B,r,2,2,31.71428571,2.4889,44.3753,82.5,28.173,5.2532
B,r,2,3,31.71428571,2.5207,46.228,77.77,26.0646,5.7195
B,r,2,4,31.71428571,2.5321,34.5059,65.12,20.2017,4.2509
B,r,2,5,31.71428571,2.5279,24.5525,55.96,14.4815,3.8075
B,r,2,6,31.71428571,2.5067,36.1734,78.48,22.6128,4.6947
B,r,2,7,31.71428571,2.5765,40.9138,55.02,24.1329,5.4411
B,r,2,8,31.71428571,2.4843,83.8402,122.62,44.0347,8.2021
B,r,2,9,31.71428571,2.574,44.9041,71.3,25.2346,5.3057
B,r,2,10,31.71428571,2.4978,25.2279,68.82,14.6081,3.7679
B,r,4,1,31.71428571,2.4897,36.3187,64.72,21.8701,4.3325
B,r,4,2,31.71428571,2.4669,57.414,96.22,28.6422,5.8379
B,r,4,3,31.71428571,2.63,31.9131,73.91,19.5027,4.3001
B,r,4,4,31.71428571,2.563,39.1256,86.74,19.6614,4.3681
B,r,4,5,31.71428571,2.447,58.1898,99.25,19.1742,4.386
B,r,4,6,31.71428571,2.5008,25.716,64.26,30.4982,5.4612
B,r,4,7,31.71428571,2.5876,24.0251,60,15.4881,3.5704
B,r,4,8,31.71428571,2.498,33.8349,57.8,15.8619,3.8256
B,r,4,9,31.71428571,2.7321,39.6267,70.48,19.1838,4.5157
B,r,4,10,31.71428571,2.6574,33.5726,56.71,23.5784,4.542
D,b,1,1,31,2.4716,25.3408,58.06,15.4669,3.2635
D,b,1,2,31,2.4559,27.4693,69.83,15.2363,3.2242
D,b,1,3,31,2.4516,36.0336,68.49,22.8585,4.0533
D,b,1,4,31,2.4599,31.4448,70.35,18.8295,3.8724
D,b,1,5,31,2.4507,37.6815,73.98,21.7395,3.9435
D,b,1,6,31,2.4868,17.757,66.87,10.3776,2.774
D,b,1,7,31,2.471,40.3587,83.37,21.5274,3.6401
D,b,1,8,31,2.5052,42.9303,80.8,22.211,3.5757
D,b,1,9,31,2.5399,35.605,74.58,20.3508,3.83
D,b,1,10,31,2.4831,52.9028,73.99,29.4061,4.7106
D,b,2,1,31,2.4741,26.3047,68.75,15.2628,3.3352
D,b,2,2,31,2.4565,32.0846,68.59,18.7087,3.5651
