site,b_r,bag,number,outplant_time,tin_mass,wet_mass,shell_length,dry_whole,dry_tissue
C,r,1,4,31.42857143,2.4936,70.4076,99.98,34.2792,6.9285
C,r,1,5,31.42857143,2.4722,46.9841,83.6,27.2172,4.6516
C,r,1,6,31.42857143,2.5034,37.7364,62.65,20.6454,4.5771
C,r,1,7,31.42857143,2.5364,39.6943,73.35,24.3088,4.714
C,r,1,8,31.42857143,2.53,22.6564,57.79,13.225,3.3989
C,r,1,9,31.42857143,2.5504,44.3991,79.61,25.0987,5.2868
C,r,1,10,31.42857143,2.5522,52.6922,85.98,31.1882,5.5523
C,r,2,1,31.42857143,2.5646,31.7958,78.41,18.8561,4.0712
C,r,2,2,31.42857143,2.4806,32.4647,63.06,18.7011,4.1678
C,r,2,3,31.42857143,2.5658,19.9444,50.34,13.2725,3.4854
C,r,2,4,31.42857143,2.533,25.9737,75.24,15.3377,3.7353
C,r,2,5,31.42857143,2.4895,28.9583,71.31,17.1773,3.5722
C,r,2,6,31.42857143,2.5931,78.0422,93.82,39.4927,8.9192
C,r,2,7,31.42857143,2.5587,37.2467,79.73,23.2131,5.6716
C,r,2,8,31.42857143,2.5066,78.0102,103.59,39.7594,7.6541
C,r,2,9,31.42857143,2.5548,29.6748,88.7,18.3062,3.9672
C,r,2,10,31.42857143,2.5595,38.05,75.96,20.0193,4.7126
C,r,4,1,31.42857143,2.4953,32.5745,61.82,19.4079,4.1609
C,r,4,2,31.42857143,2.506,25.258,66.25,14.8147,3.5548
C,r,4,3,31.42857143,2.5222,36.0303,67.76,21.5285,4.1468
C,r,4,4,31.42857143,2.6393,18.5966,54.33,11.7906,3.3274
C,r,4,5,31.42857143,2.6054,29.9524,77.12,15.1002,3.6348
C,r,4,6,31.42857143,2.4749,36.8565,76.53,23.0386,4.5807
C,r,4,7,31.42857143,2.4298,38.8383,96.54,20.4988,4.179
C,r,4,8,31.42857143,2.4978,50.586,96.26,28.4446,5.6463
C,r,4,9,31.42857143,2.5173,39.7527,82.9,24.5439,5.144
C,r,4,10,31.42857143,2.4587,30.3006,67.56,16.274,3.9013
